Rest. 1, rest. 2, rest. 3, rest. 4, rest. 5, total
760,848160,33772690,929290,902880,36453780
760,899460,34780830,957030,930240,37568320
760,617120,32836560,790590,766080,35011110
760,595840,32260480,776720,752400,34386200
760,397100,35644950,624150,601920,37268880
760,1525700,32404500,1248300,1217520,36396780
760,706040,35140880,846070,820800,37514550
760,2077080,30244200,1456350,1422720,35201110
760,393300,32404500,624150,601920,34024630
760,660820,33988720,818330,793440,36262070
