result, conflicts, decisions, time
SAT,6769,100598,9.69236
SAT,2904,97988,9.41855
SAT,4314,81497,9.24641
SAT,3692,84895,8.6153
TIMEOUT,-1,-1,600
SAT,100794,196768,44.0868
SAT,6564,95647,9.79016
SAT,54759,350896,24.8099
TIMEOUT,-1,-1,600
SAT,3686,107723,9.02886
