Rest. 1, rest. 2, rest. 3, rest. 4, rest. 5, total
760,3336780,28731990,1844710,1805760,35720000
760,273980,29308070,513190,492480,30588480
760,360240,30964300,596410,574560,32496270
760,3286620,28515960,1830840,1792080,35426260
760,273980,29308070,513190,492480,30588480
760,1921280,29092040,1400870,1368000,33782950
760,1845660,28515960,1373130,1340640,33076150
760,360240,30964300,596410,574560,32496270
760,270180,26643700,513190,492480,27920310
760,1296940,29884150,1151210,1121760,33454820
