result, conflicts, decisions, time
SAT,103261,658543,51.7622
TIMEOUT,-1,-1,900
TIMEOUT,-1,-1,900
SAT,507715,978591,228.519
TIMEOUT,-1,-1,900
SAT,103317,361700,35.2885
SAT,49159,332087,18.3087
TIMEOUT,-1,-1,900
TIMEOUT,-1,-1,900
SAT,100926,253399,30.5803
