Rest. 1, rest. 2, rest. 3, rest. 4, rest. 5, total
420,108570,4915680,178080,169260,5372010
420,249060,5376525,272685,262080,6160770
420,86940,5530140,155820,147420,5920740
420,69510,5793480,133560,125580,6122550
420,88830,6144600,155820,147420,6537090
420,74550,6034875,139125,131040,6380010
420,150780,5003460,211470,202020,5568150
420,51450,4827900,111300,103740,5094810
420,324660,4915680,311640,300300,5852700
420,122220,5222910,189210,180180,5714940
