result, conflicts, decisions, time
TIMEOUT,-1,-1,600
SAT,2381,26886,1.56985
TIMEOUT,-1,-1,600
TIMEOUT,-1,-1,600
TIMEOUT,-1,-1,600
TIMEOUT,-1,-1,600
SAT,1332,20119,1.40559
TIMEOUT,-1,-1,600
SAT,88767,127911,16.031
SAT,135931,784834,8.49405
