Precalc, rest. 1, rest. 2, rest. 3, rest. 4, rest. 5, total
0.00026664499999998204,0.015106271000000004,0.213842556,18.918299839,0.2638448320000002,0.2551162429999998, 19.66701273
9.292600000000012e-05,0.009414385999999997,0.482882398,20.913317732,0.48540247000000036,0.5115282430000008, 22.40284278
9.935399999999595e-05,0.005526948000000004,0.176221986,21.906728819,0.2763289489999998,0.28502608900000226, 22.650142066
9.141800000000283e-05,0.0067792689999999975,0.11740918300000001,21.923227058,0.2161110399999977,0.21221260500000128, 22.476061364
9.742100000000031e-05,0.004975827000000002,0.132803009,23.202738572999998,0.22828379399999932,0.217357389, 23.786463465
0.00010152599999999762,0.005059503,0.127276538,23.113979626000003,0.288258828,0.28041730099999995, 23.815351323
0.00014456300000000033,0.005355027000000005,0.20683330400000005,18.937011626999997,0.46643291999999903,0.30091787099999934, 19.916897774
0.0001449299999999945,0.004048085,0.07215676600000001,18.577525347999998,0.2110912049999989,0.24213055200000255, 19.107297363
0.00014482700000000015,0.007052742000000001,0.7616511400000001,19.056276171,0.4565172679999989,0.40902373299999795, 20.690860637
0.00014683900000000277,0.008356699999999995,0.308833476,19.969878487,0.30460324299999897,0.3704922499999981, 20.962533294
