result, conflicts, decisions, time
SAT,211,2173,3.47301
UNSAT,7910,11230,2.44274
SAT,219,2698,3.32878
UNSAT,3472,5571,3.29316
SAT,412,2752,2.57438
SAT,200,1988,2.92468
SAT,732,3026,3.11866
SAT,412,2752,2.55389
TIMEOUT,-1,-1,600
UNSAT,64011,82845,6.51235
