Rest. 1, rest. 2, rest. 3, rest. 4, rest. 5, total
180,6840,308385,10395,8640,334440
180,7830,336420,17820,15840,378090
180,39420,360450,44550,41760,486360
180,39420,360450,44550,41760,486360
180,6570,320400,11880,10080,349110
180,6840,308385,10395,8640,334440
180,7470,352440,16335,14400,390825
180,39420,360450,44550,41760,486360
180,6480,324405,13365,11520,355950
180,5940,280350,10395,8640,305505
