Rest. 1, rest. 2, rest. 3, rest. 4, rest. 5, total
180,18720,792990,26730,24480,863100
180,20790,588735,31185,28800,669690
180,15750,704880,23760,21600,766170
180,34920,560700,41580,38880,676260
180,40500,720900,44550,41760,847890
180,23850,925155,31185,28800,1009170
180,42390,496620,46035,43200,628425
180,35910,784980,41580,38880,901530
180,23850,925155,31185,28800,1009170
180,48060,528660,49005,46080,671985
