result, conflicts, decisions, time
TIMEOUT,-1,-1,600
SAT,1957,6187,3.9341
UNSAT,359319,435882,26.7624
SAT,120,1274,3.78885
SAT,0,1404,5.1221
SAT,632,3813,7.00778
SAT,202,1536,3.4461
SAT,11,1316,5.41678
SAT,632,3813,7.21026
SAT,406,3086,3.59005
